t	Vext	G_frac	Track
3.496993987975952e-05	oc	1	3
3.507014028056113e-05	oc	1	3
3.517034068136273e-05	oc	1	3
3.527054108216433e-05	oc	1	3
3.537074148296594e-05	oc	1	3
3.547094188376754e-05	oc	1	3
3.557114228456914e-05	oc	1	3
3.5671342685370746e-05	oc	1	3
3.577154308617235e-05	oc	1	3
3.587174348697395e-05	oc	1	3
3.5971943887775555e-05	oc	1	3
3.6072144288577156e-05	oc	1	3
3.617234468937876e-05	oc	1	3
3.6272545090180364e-05	oc	1	3
3.6372745490981965e-05	oc	1	3
3.647294589178357e-05	oc	1	3
3.657314629258517e-05	oc	1	3
3.6673346693386774e-05	oc	1	3
3.677354709418838e-05	oc	1	3
3.687374749498998e-05	oc	1	3
3.697394789579158e-05	oc	1	3
3.707414829659319e-05	oc	1	3
3.717434869739479e-05	oc	1	3
3.72745490981964e-05	oc	1	3
3.7374749498998e-05	oc	1	3
3.74749498997996e-05	oc	1	3
3.757515030060121e-05	oc	1	3
3.767535070140281e-05	oc	1	3
3.777555110220441e-05	oc	1	3
3.7875751503006016e-05	oc	1	3
3.797595190380762e-05	oc	1	3
3.8076152304609225e-05	oc	1	3
3.8176352705410825e-05	oc	1	3
3.8276553106212426e-05	oc	1	3
3.8376753507014034e-05	oc	1	3
3.8476953907815634e-05	oc	1	3
3.8577154308617235e-05	oc	1	3
3.867735470941884e-05	oc	1	3
3.877755511022044e-05	oc	1	3
3.8877755511022044e-05	oc	1	3
3.897795591182365e-05	oc	1	3
3.907815631262525e-05	oc	1	3
3.917835671342686e-05	oc	1	3
3.927855711422846e-05	oc	1	3
3.937875751503006e-05	oc	1	3
3.947895791583167e-05	oc	1	3
3.957915831663327e-05	oc	1	3
3.967935871743487e-05	oc	1	3
3.977955911823648e-05	oc	1	3
3.987975951903808e-05	oc	1	3
3.9979959919839686e-05	oc	1	3
4.0080160320641287e-05	oc	1	3
4.018036072144289e-05	oc	1	3
4.0280561122244495e-05	oc	1	3
4.0380761523046096e-05	oc	1	3
4.0480961923847696e-05	oc	1	3
4.0581162324649304e-05	oc	1	3
4.0681362725450904e-05	oc	1	3
4.0781563126252505e-05	oc	1	3
4.088176352705411e-05	oc	1	3
4.0981963927855713e-05	oc	1	3
4.108216432865732e-05	oc	1	3
4.118236472945892e-05	oc	1	3
4.128256513026052e-05	oc	1	3
4.138276553106213e-05	oc	1	3
4.148296593186373e-05	oc	1	3
4.158316633266533e-05	oc	1	3
4.168336673346694e-05	oc	1	3
4.178356713426854e-05	oc	1	3
4.188376753507014e-05	oc	1	3
4.198396793587175e-05	oc	1	3
4.208416833667335e-05	oc	1	3
4.2184368737474956e-05	oc	1	3
4.228456913827656e-05	oc	1	3
4.238476953907816e-05	oc	1	3
4.2484969939879765e-05	oc	1	3
4.2585170340681366e-05	oc	1	3
4.2685370741482966e-05	oc	1	3
4.2785571142284574e-05	oc	1	3
4.2885771543086175e-05	oc	1	3
4.298597194388778e-05	oc	1	3
4.308617234468938e-05	oc	1	3
4.3186372745490984e-05	oc	1	3
4.328657314629259e-05	oc	1	3
4.338677354709419e-05	oc	1	3
4.348697394789579e-05	oc	1	3
4.35871743486974e-05	oc	1	3
4.3687374749499e-05	oc	1	3
4.37875751503006e-05	oc	1	3
4.388777555110221e-05	oc	1	3
4.398797595190381e-05	oc	1	3
4.408817635270542e-05	oc	1	3
4.418837675350702e-05	oc	1	3
4.428857715430862e-05	oc	1	3
4.4388777555110226e-05	oc	1	3
4.448897795591183e-05	oc	1	3
4.458917835671343e-05	oc	1	3
4.4689378757515035e-05	oc	1	3
4.4789579158316636e-05	oc	1	3
4.488977955911824e-05	oc	1	3
4.4989979959919844e-05	oc	1	3
4.5090180360721445e-05	oc	1	3
4.519038076152305e-05	oc	1	3
4.529058116232465e-05	oc	1	3
4.5390781563126254e-05	oc	1	3
4.549098196392786e-05	oc	1	3
4.559118236472946e-05	oc	1	3
4.569138276553106e-05	oc	1	3
4.579158316633267e-05	oc	1	3
4.589178356713427e-05	oc	1	3
4.599198396793588e-05	oc	1	3
4.609218436873748e-05	oc	1	3
4.619238476953908e-05	oc	1	3
4.629258517034069e-05	oc	1	3
4.639278557114229e-05	oc	1	3
4.649298597194389e-05	oc	1	3
4.6593186372745496e-05	oc	1	3
4.66933867735471e-05	oc	1	3
4.67935871743487e-05	oc	1	3
4.6893787575150305e-05	oc	1	3
4.6993987975951906e-05	oc	1	3
4.7094188376753514e-05	oc	1	3
4.7194388777555114e-05	oc	1	3
4.7294589178356715e-05	oc	1	3
4.739478957915832e-05	oc	1	3
4.749498997995992e-05	oc	1	3
4.7595190380761524e-05	oc	1	3
4.769539078156313e-05	oc	1	3
4.779559118236473e-05	oc	1	3
4.789579158316634e-05	oc	1	3
4.799599198396794e-05	oc	1	3
4.809619238476954e-05	oc	1	3
4.819639278557115e-05	oc	1	3
4.829659318637275e-05	oc	1	3
4.839679358717435e-05	oc	1	3
4.849699398797596e-05	oc	1	3
4.859719438877756e-05	oc	1	3
4.869739478957916e-05	oc	1	3
4.8797595190380767e-05	oc	1	3
4.889779559118237e-05	oc	1	3
4.8997995991983975e-05	oc	1	3
4.9098196392785576e-05	oc	1	3
4.9198396793587176e-05	oc	1	3
4.9298597194388784e-05	oc	1	3
4.9398797595190384e-05	oc	1	3
4.9498997995991985e-05	oc	1	3
4.959919839679359e-05	oc	1	3
4.9699398797595193e-05	oc	1	3
4.9799599198396794e-05	oc	1	3
4.98997995991984e-05	oc	1	3
5e-05	oc	1	3
