lambda n k
499E-9 2.13203 0.01076 
500E-9 2.13101 0.0106 
501E-9 2.13 0.01044 
502E-9 2.12898 0.01027 
503E-9 2.12796 0.01009 
504E-9 2.12694 0.00991 
505E-9 2.12592 0.00972 
506E-9 2.12491 0.00952 
507E-9 2.12389 0.00932 
508E-9 2.12288 0.00911 
509E-9 2.12187 0.00889 
510E-9 2.12087 0.00868 
511E-9 2.11987 0.00846 
512E-9 2.11887 0.00823 
513E-9 2.11787 0.00801 
514E-9 2.11689 0.00778 
515E-9 2.1159 0.00754 
516E-9 2.11492 0.00731 
517E-9 2.11395 0.00708 
518E-9 2.11298 0.00684 
519E-9 2.11203 0.00661 
520E-9 2.11107 0.00637 
521E-9 2.11013 0.00613 
522E-9 2.10919 0.0059 
523E-9 2.10826 0.00566 
524E-9 2.10734 0.00543 
525E-9 2.10642 0.0052 
526E-9 2.10552 0.00497 
527E-9 2.10462 0.00474 
528E-9 2.10374 0.00452 
529E-9 2.10286 0.00429 
530E-9 2.10199 0.00408 
531E-9 2.10114 0.00386 
532E-9 2.10029 0.00365 
533E-9 2.09945 0.00344 
534E-9 2.09863 0.00324 
535E-9 2.09781 0.00304 
536E-9 2.09701 0.00284 
537E-9 2.09622 0.00265 
538E-9 2.09544 0.00247 
539E-9 2.09467 0.00229 
540E-9 2.09391 0.00212 
541E-9 2.09317 0.00195 
542E-9 2.09244 0.00179 
543E-9 2.09172 0.00164 
544E-9 2.09101 0.00149 
545E-9 2.09032 0.00135 
546E-9 2.08964 0.00122 
547E-9 2.08897 0.0011 
548E-9 2.08831 9.74497E-4 
549E-9 2.08768 8.66608E-4 
550E-9 2.08705 7.6363E-4 
551E-9 2.08644 6.68158E-4 
552E-9 2.08584 5.8344E-4 
553E-9 2.08525 5.04125E-4 
554E-9 2.08468 4.35031E-4 
555E-9 2.08413 3.73776E-4 
556E-9 2.08358 3.17897E-4 
557E-9 2.08305 2.73298E-4 
558E-9 2.08253 2.33596E-4 
559E-9 2.08202 2.0093E-4 
560E-9 2.08153 1.77519E-4 
561E-9 2.08104 1.58723E-4 
562E-9 2.08056 1.48671E-4 
563E-9 2.0801 1.44601E-4 
564E-9 2.07964 1.44433E-4 
565E-9 2.0792 1.54484E-4 
566E-9 2.07877 1.6879E-4 
567E-9 2.07834 1.88266E-4 
568E-9 2.07793 2.15303E-4 
569E-9 2.07752 2.46101E-4 
570E-9 2.07712 2.838E-4 
571E-9 2.07673 3.27024E-4 
572E-9 2.07635 3.73585E-4 
573E-9 2.07597 4.27624E-4 
574E-9 2.0756 4.85694E-4 
575E-9 2.07524 5.47902E-4 
576E-9 2.07489 6.16347E-4 
577E-9 2.07454 6.87812E-4 
578E-9 2.0742 7.64476E-4 
579E-9 2.07387 8.46116E-4 
580E-9 2.07354 9.30422E-4 
581E-9 2.07321 0.00102 
582E-9 2.07289 0.00111 
583E-9 2.07258 0.00121 
584E-9 2.07227 0.00131 
585E-9 2.07197 0.00141 
586E-9 2.07167 0.00152 
587E-9 2.07138 0.00163 
588E-9 2.07108 0.00175 
589E-9 2.0708 0.00186 
590E-9 2.07051 0.00199 
591E-9 2.07023 0.00211 
592E-9 2.06996 0.00224 
593E-9 2.06968 0.00236 
594E-9 2.06941 0.0025 
595E-9 2.06915 0.00263 
596E-9 2.06888 0.00277 
597E-9 2.06862 0.00291 
598E-9 2.06836 0.00305 
599E-9 2.0681 0.00319 
600E-9 2.06784 0.00334 
601E-9 2.06758 0.00348 
602E-9 2.06733 0.00363 
603E-9 2.06708 0.00379 
604E-9 2.06683 0.00394 
605E-9 2.06658 0.00409 
606E-9 2.06633 0.00425 
607E-9 2.06608 0.00441 
608E-9 2.06583 0.00457 
609E-9 2.06558 0.00473 
610E-9 2.06533 0.00489 
611E-9 2.06509 0.00505 
612E-9 2.06484 0.00522 
613E-9 2.06459 0.00538 
614E-9 2.06435 0.00555 
615E-9 2.0641 0.00572 
616E-9 2.06385 0.00589 
617E-9 2.0636 0.00606 
618E-9 2.06335 0.00623 
619E-9 2.0631 0.0064 
620E-9 2.06285 0.00657 
621E-9 2.0626 0.00674 
622E-9 2.06234 0.00691 
623E-9 2.06209 0.00708 
624E-9 2.06183 0.00726 
625E-9 2.06158 0.00743 
626E-9 2.06132 0.0076 
627E-9 2.06106 0.00778 
628E-9 2.06079 0.00795 
629E-9 2.06053 0.00813 
630E-9 2.06026 0.0083 
631E-9 2.06 0.00848 
632E-9 2.05972 0.00865 
633E-9 2.05945 0.00882 
634E-9 2.05918 0.009 
635E-9 2.0589 0.00917 
636E-9 2.05862 0.00935 
637E-9 2.05834 0.00952 
638E-9 2.05805 0.00969 
639E-9 2.05777 0.00987 
640E-9 2.05748 0.01004 
641E-9 2.05718 0.01021 
642E-9 2.05689 0.01038 
643E-9 2.05659 0.01055 
644E-9 2.05629 0.01072 
645E-9 2.05599 0.01089 
646E-9 2.05569 0.01106 
647E-9 2.05538 0.01123 
648E-9 2.05508 0.0114 
649E-9 2.05477 0.01157 
650E-9 2.05446 0.01173 
651E-9 2.05415 0.0119 
652E-9 2.05383 0.01207 
653E-9 2.05352 0.01223 
654E-9 2.05321 0.01239 
655E-9 2.05289 0.01256 
656E-9 2.05257 0.01272 
657E-9 2.05225 0.01288 
658E-9 2.05193 0.01304 
659E-9 2.05161 0.0132 
660E-9 2.05129 0.01336 
661E-9 2.05097 0.01352 
662E-9 2.05065 0.01368 
663E-9 2.05033 0.01383 
664E-9 2.05 0.01399 
665E-9 2.04968 0.01414 
666E-9 2.04936 0.0143 
667E-9 2.04903 0.01445 
668E-9 2.04871 0.0146 
669E-9 2.04839 0.01475 
670E-9 2.04806 0.0149 
671E-9 2.04774 0.01505 
672E-9 2.04741 0.01519 
673E-9 2.04709 0.01534 
674E-9 2.04676 0.01548 
675E-9 2.04644 0.01563 
676E-9 2.04612 0.01577 
677E-9 2.0458 0.01591 
678E-9 2.04547 0.01605 
679E-9 2.04515 0.01619 
680E-9 2.04483 0.01633 
681E-9 2.04451 0.01646 
