lambda n k
500E-9 1.63434 0.02329 
501E-9 1.63567 0.02519 
502E-9 1.63708 0.02718 
503E-9 1.63865 0.02935 
504E-9 1.64028 0.03162 
505E-9 1.64196 0.03396 
506E-9 1.64371 0.03648 
507E-9 1.64547 0.03906 
508E-9 1.64724 0.04173 
509E-9 1.64899 0.04452 
510E-9 1.65072 0.04736 
511E-9 1.65239 0.05031 
512E-9 1.654 0.05333 
513E-9 1.65555 0.0564 
514E-9 1.65695 0.05957 
515E-9 1.65827 0.06279 
516E-9 1.65948 0.06606 
517E-9 1.66055 0.06941 
518E-9 1.66157 0.07281 
519E-9 1.66254 0.0763 
520E-9 1.66351 0.07986 
521E-9 1.66449 0.08347 
522E-9 1.66559 0.08721 
523E-9 1.66676 0.09101 
524E-9 1.66805 0.09488 
525E-9 1.66957 0.09888 
526E-9 1.67123 0.10294 
527E-9 1.67315 0.10711 
528E-9 1.67537 0.11138 
529E-9 1.67776 0.11571 
530E-9 1.68063 0.12018 
531E-9 1.68377 0.12471 
532E-9 1.68721 0.12933 
533E-9 1.69121 0.13407 
534E-9 1.69549 0.13887 
535E-9 1.70027 0.14377 
536E-9 1.70556 0.14877 
537E-9 1.71117 0.15381 
538E-9 1.71749 0.15897 
539E-9 1.72422 0.1642 
540E-9 1.73134 0.1695 
541E-9 1.73903 0.17503 
542E-9 1.74692 0.18072 
543E-9 1.7551 0.18666 
544E-9 1.76345 0.19299 
545E-9 1.77189 0.19954 
546E-9 1.78039 0.20664 
547E-9 1.78884 0.21416 
548E-9 1.79727 0.22202 
549E-9 1.80548 0.2307 
550E-9 1.81356 0.23978 
551E-9 1.82142 0.24947 
552E-9 1.82893 0.25999 
553E-9 1.83624 0.27097 
554E-9 1.8431 0.28291 
555E-9 1.84958 0.2956 
556E-9 1.8558 0.30881 
557E-9 1.86133 0.32338 
558E-9 1.86654 0.33857 
559E-9 1.87131 0.35462 
560E-9 1.87542 0.37195 
561E-9 1.87921 0.38995 
562E-9 1.88237 0.40924 
563E-9 1.885 0.42965 
564E-9 1.8873 0.45079 
565E-9 1.88885 0.47365 
566E-9 1.89012 0.49727 
567E-9 1.89104 0.5218 
568E-9 1.89154 0.54765 
569E-9 1.89187 0.57407 
570E-9 1.89193 0.60151 
571E-9 1.89183 0.62978 
572E-9 1.89164 0.65855 
573E-9 1.89133 0.6883 
574E-9 1.891 0.71851 
575E-9 1.89066 0.7492 
576E-9 1.89034 0.78059 
577E-9 1.89007 0.81226 
578E-9 1.88986 0.84437 
579E-9 1.88977 0.87683 
580E-9 1.88974 0.90947 
581E-9 1.88988 0.94243 
582E-9 1.89013 0.9755 
583E-9 1.89047 1.00868 
584E-9 1.89103 1.04195 
585E-9 1.89167 1.07522 
586E-9 1.89245 1.10848 
587E-9 1.89339 1.14164 
588E-9 1.89441 1.17473 
589E-9 1.89559 1.20764 
590E-9 1.89686 1.24037 
591E-9 1.8982 1.27297 
592E-9 1.89969 1.30517 
593E-9 1.90125 1.33712 
594E-9 1.90292 1.3687 
