lambda n k
500E-9 1.65727 0.68437 
501E-9 1.66449 0.69251 
502E-9 1.6766 0.70069 
503E-9 1.68866 0.70809 
504E-9 1.70026 0.71551 
505E-9 1.70642 0.72416 
506E-9 1.72131 0.73244 
507E-9 1.73042 0.74115 
508E-9 1.74197 0.74949 
509E-9 1.75374 0.75785 
510E-9 1.76319 0.76583 
511E-9 1.77608 0.77424 
512E-9 1.79246 0.78187 
513E-9 1.80666 0.7883 
514E-9 1.81619 0.79311 
515E-9 1.82338 0.79875 
516E-9 1.83094 0.80235 
517E-9 1.84108 0.80514 
518E-9 1.85768 0.80876 
519E-9 1.86901 0.81197 
520E-9 1.88303 0.81478 
521E-9 1.89225 0.81842 
522E-9 1.90272 0.82207 
523E-9 1.9156 0.82489 
524E-9 1.92812 0.82813 
525E-9 1.93819 0.83055 
526E-9 1.94646 0.83213 
527E-9 1.9547 0.83288 
528E-9 1.96291 0.83235 
529E-9 1.97363 0.83393 
530E-9 1.98449 0.83551 
531E-9 1.99362 0.83497 
532E-9 2.00295 0.83612 
533E-9 2.01369 0.83769 
534E-9 2.02406 0.83841 
535E-9 2.03205 0.83871 
536E-9 2.04001 0.83942 
537E-9 2.04996 0.84099 
538E-9 2.05899 0.84255 
539E-9 2.06786 0.84412 
540E-9 2.07785 0.84526 
541E-9 2.08567 0.84682 
542E-9 2.096 0.84968 
543E-9 2.10833 0.85298 
544E-9 2.11978 0.85541 
545E-9 2.13177 0.85829 
546E-9 2.14657 0.8616 
547E-9 2.15676 0.86448 
548E-9 2.16914 0.86781 
549E-9 2.18179 0.8707 
550E-9 2.1944 0.87404 
551E-9 2.20734 0.87694 
552E-9 2.22236 0.87854 
553E-9 2.23508 0.88013 
554E-9 2.2475 0.88128 
555E-9 2.26172 0.88066 
556E-9 2.27874 0.88003 
557E-9 2.29349 0.87807 
558E-9 2.30818 0.87476 
559E-9 2.3215 0.87055 
560E-9 2.33367 0.86587 
561E-9 2.34579 0.86072 
562E-9 2.36016 0.85644 
563E-9 2.37144 0.8499 
564E-9 2.38103 0.84333 
565E-9 2.39059 0.83583 
566E-9 2.40011 0.82785 
567E-9 2.40789 0.81939 
568E-9 2.41498 0.81044 
569E-9 2.42176 0.801 
570E-9 2.4241 0.79106 
571E-9 2.42644 0.782 
572E-9 2.42789 0.77154 
573E-9 2.42782 0.76103 
574E-9 2.4255 0.74957 
575E-9 2.4232 0.73898 
576E-9 2.42018 0.72789 
577E-9 2.4156 0.71675 
578E-9 2.41319 0.70742 
579E-9 2.40963 0.69804 
580E-9 2.40509 0.68863 
581E-9 2.40057 0.68103 
582E-9 2.39607 0.67294 
583E-9 2.39426 0.66529 
584E-9 2.3965 0.65853 
585E-9 2.39207 0.65267 
586E-9 2.38893 0.64679 
587E-9 2.38672 0.64182 
588E-9 2.38451 0.63683 
589E-9 2.38395 0.63323 
590E-9 2.38465 0.63008 
591E-9 2.38683 0.62832 
592E-9 2.38709 0.6275 
593E-9 2.38803 0.62715 
594E-9 2.3902 0.62726 
595E-9 2.39447 0.62832 
596E-9 2.39763 0.62937 
597E-9 2.40004 0.63043 
598E-9 2.40643 0.63148 
599E-9 2.41156 0.63159 
600E-9 2.41579 0.63121 
601E-9 2.42001 0.63035 
602E-9 2.42422 0.62852 
603E-9 2.42815 0.62573 
604E-9 2.43024 0.62436 
605E-9 2.43362 0.6201 
606E-9 2.43754 0.6163 
607E-9 2.43961 0.61056 
608E-9 2.44167 0.60237 
609E-9 2.44373 0.59318 
610E-9 2.44578 0.58396 
611E-9 2.44561 0.57277 
612E-9 2.44358 0.56007 
613E-9 2.44155 0.54732 
614E-9 2.43953 0.53209 
615E-9 2.43751 0.5173 
616E-9 2.4337 0.50147 
617E-9 2.43036 0.48461 
618E-9 2.42836 0.46769 
619E-9 2.42335 0.44874 
620E-9 2.41775 0.42628 
621E-9 2.4138 0.41412 
622E-9 2.40869 0.39548 
623E-9 2.40279 0.37728 
624E-9 2.39692 0.35852 
625E-9 2.39107 0.34069 
626E-9 2.38523 0.3228 
627E-9 2.37941 0.30486 
628E-9 2.3733 0.28685 
629E-9 2.36559 0.26729 
630E-9 2.35893 0.25067 
631E-9 2.35318 0.2355 
632E-9 2.34576 0.22028 
633E-9 2.3372 0.20602 
634E-9 2.32582 0.19172 
635E-9 2.31784 0.17838 
636E-9 2.31218 0.1655 
