lambda n k
499E-9 1.88432 0.09177 
500E-9 1.88387 0.09138 
501E-9 1.88344 0.09101 
502E-9 1.88302 0.09064 
503E-9 1.88263 0.09028 
504E-9 1.88225 0.08993 
505E-9 1.88187 0.08958 
506E-9 1.88149 0.08924 
507E-9 1.8811 0.08891 
508E-9 1.8807 0.08858 
509E-9 1.88027 0.08827 
510E-9 1.87982 0.08795 
511E-9 1.87932 0.08765 
512E-9 1.87878 0.08735 
513E-9 1.87822 0.08706 
514E-9 1.87759 0.08678 
515E-9 1.87693 0.0865 
516E-9 1.87624 0.08624 
517E-9 1.8755 0.08599 
518E-9 1.87475 0.08574 
519E-9 1.87396 0.08552 
520E-9 1.87314 0.08531 
521E-9 1.8723 0.0851 
522E-9 1.87143 0.08493 
523E-9 1.87055 0.08477 
524E-9 1.86965 0.08462 
525E-9 1.86874 0.0845 
526E-9 1.86781 0.08439 
527E-9 1.86687 0.08431 
528E-9 1.86593 0.08425 
529E-9 1.86498 0.0842 
530E-9 1.86402 0.0842 
531E-9 1.86306 0.08421 
532E-9 1.86211 0.08424 
533E-9 1.86116 0.08431 
534E-9 1.86021 0.08439 
535E-9 1.85926 0.08451 
536E-9 1.85833 0.08466 
537E-9 1.85739 0.08483 
538E-9 1.85647 0.08503 
539E-9 1.85554 0.08526 
540E-9 1.85462 0.08551 
541E-9 1.8537 0.0858 
542E-9 1.85278 0.0861 
543E-9 1.85186 0.08643 
544E-9 1.85094 0.08679 
545E-9 1.85002 0.08717 
546E-9 1.8491 0.08758 
547E-9 1.84817 0.08802 
548E-9 1.84725 0.08847 
549E-9 1.84632 0.08896 
550E-9 1.8454 0.08946 
551E-9 1.84448 0.09 
552E-9 1.84357 0.09056 
553E-9 1.84267 0.09115 
554E-9 1.84177 0.09176 
555E-9 1.84089 0.09241 
556E-9 1.84002 0.09307 
557E-9 1.83916 0.09378 
558E-9 1.83832 0.0945 
559E-9 1.83749 0.09525 
560E-9 1.83669 0.09603 
561E-9 1.8359 0.09684 
562E-9 1.83513 0.09767 
563E-9 1.83438 0.09852 
564E-9 1.83365 0.09939 
565E-9 1.83295 0.10029 
566E-9 1.83226 0.10121 
567E-9 1.8316 0.10214 
568E-9 1.83096 0.10309 
569E-9 1.83034 0.10405 
570E-9 1.82975 0.10502 
571E-9 1.82918 0.10601 
572E-9 1.82863 0.10701 
573E-9 1.82812 0.10802 
574E-9 1.82762 0.10904 
575E-9 1.82714 0.11007 
576E-9 1.82669 0.11111 
577E-9 1.82625 0.11215 
578E-9 1.82583 0.11321 
579E-9 1.82544 0.11428 
580E-9 1.82505 0.11535 
581E-9 1.82468 0.11643 
582E-9 1.82433 0.11751 
583E-9 1.82398 0.11861 
584E-9 1.82365 0.11971 
585E-9 1.82333 0.12082 
586E-9 1.82302 0.12193 
587E-9 1.82272 0.12305 
588E-9 1.82243 0.12418 
589E-9 1.82215 0.12533 
590E-9 1.82188 0.12649 
591E-9 1.82161 0.12766 
592E-9 1.82137 0.12886 
593E-9 1.82112 0.13008 
594E-9 1.82089 0.13131 
595E-9 1.82067 0.13258 
596E-9 1.82046 0.13386 
597E-9 1.82026 0.13518 
598E-9 1.82007 0.13653 
599E-9 1.81989 0.1379 
600E-9 1.81973 0.13932 
601E-9 1.81957 0.14076 
602E-9 1.81943 0.14224 
603E-9 1.81933 0.14375 
604E-9 1.81925 0.14529 
605E-9 1.8192 0.14687 
606E-9 1.8192 0.14848 
607E-9 1.81922 0.1501 
608E-9 1.81932 0.15178 
609E-9 1.81946 0.15347 
610E-9 1.81964 0.15519 
611E-9 1.81991 0.15695 
612E-9 1.82023 0.15873 
613E-9 1.82062 0.16054 
614E-9 1.8211 0.16238 
615E-9 1.82163 0.16424 
616E-9 1.82227 0.16612 
617E-9 1.82297 0.16802 
618E-9 1.82373 0.16992 
619E-9 1.82461 0.17181 
620E-9 1.82554 0.1737 
621E-9 1.82654 0.17558 
622E-9 1.82763 0.17742 
623E-9 1.82877 0.17924 
624E-9 1.83 0.18101 
625E-9 1.8313 0.18274 
626E-9 1.83264 0.18444 
627E-9 1.83408 0.18604 
628E-9 1.83557 0.1876 
629E-9 1.83712 0.18909 
630E-9 1.83875 0.19048 
631E-9 1.84042 0.19182 
632E-9 1.84216 0.19306 
633E-9 1.84395 0.19421 
634E-9 1.84577 0.19531 
635E-9 1.84763 0.19629 
636E-9 1.8495 0.19721 
637E-9 1.8514 0.19807 
638E-9 1.8533 0.19882 
639E-9 1.85521 0.19952 
640E-9 1.85711 0.20014 
641E-9 1.85899 0.20067 
642E-9 1.86086 0.20117 
643E-9 1.8627 0.20156 
644E-9 1.86451 0.2019 
645E-9 1.86629 0.20219 
646E-9 1.868 0.20238 
647E-9 1.86968 0.20253 
648E-9 1.8713 0.20261 
649E-9 1.87286 0.20263 
650E-9 1.87438 0.20261 
651E-9 1.87582 0.20254 
652E-9 1.8772 0.20245 
653E-9 1.87855 0.20233 
654E-9 1.87981 0.20218 
655E-9 1.88102 0.20202 
656E-9 1.88218 0.20186 
657E-9 1.88327 0.20169 
658E-9 1.88431 0.20154 
659E-9 1.88528 0.20139 
660E-9 1.88619 0.20127 
661E-9 1.88705 0.20116 
662E-9 1.88783 0.2011 
663E-9 1.88856 0.20106 
664E-9 1.88923 0.20106 
665E-9 1.88982 0.20113 
666E-9 1.89038 0.20123 
667E-9 1.89087 0.20139 
668E-9 1.89133 0.20162 
669E-9 1.89176 0.2019 
670E-9 1.89217 0.20226 
671E-9 1.89257 0.2027 
672E-9 1.89296 0.20318 
673E-9 1.89337 0.20379 
674E-9 1.89379 0.20445 
675E-9 1.89423 0.2052 
676E-9 1.89471 0.20606 
677E-9 1.89522 0.20698 
678E-9 1.8958 0.20803 
679E-9 1.89643 0.20917 
680E-9 1.8971 0.21038 
681E-9 1.89789 0.21176 
682E-9 1.89873 0.21321 
683E-9 1.89966 0.21476 
684E-9 1.90071 0.21645 
685E-9 1.90182 0.21821 
686E-9 1.90307 0.22008 
687E-9 1.90444 0.22201 
688E-9 1.90589 0.22399 
689E-9 1.90753 0.22602 
690E-9 1.90927 0.22807 
691E-9 1.91112 0.23013 
692E-9 1.91318 0.23219 
693E-9 1.91533 0.23423 
694E-9 1.91765 0.23625 
695E-9 1.92016 0.23821 
696E-9 1.92277 0.24014 
697E-9 1.9256 0.24197 
698E-9 1.92859 0.24373 
699E-9 1.9317 0.24543 
700E-9 1.93508 0.24696 
701E-9 1.93858 0.24842 
702E-9 1.94227 0.24975 
703E-9 1.94618 0.25091 
704E-9 1.95022 0.25198 
705E-9 1.95447 0.25285 
706E-9 1.95886 0.25356 
707E-9 1.96335 0.25416 
708E-9 1.96801 0.25451 
709E-9 1.97273 0.25472 
710E-9 1.97754 0.25478 
711E-9 1.98243 0.25458 
712E-9 1.98735 0.25425 
713E-9 1.99232 0.25369 
714E-9 1.99731 0.25292 
715E-9 2.0023 0.25201 
716E-9 2.00729 0.2508 
717E-9 2.01226 0.24941 
718E-9 2.01721 0.24785 
719E-9 2.02209 0.24597 
720E-9 2.02693 0.24393 
721E-9 2.0317 0.24166 
722E-9 2.03638 0.2391 
723E-9 2.041 0.23638 
724E-9 2.04549 0.23335 
725E-9 2.04988 0.2301 
726E-9 2.05419 0.2267 
727E-9 2.05831 0.22297 
728E-9 2.06234 0.21911 
729E-9 2.06624 0.21509 
730E-9 2.06996 0.21085 
731E-9 2.07357 0.20652 
732E-9 2.077 0.20202 
733E-9 2.08025 0.1974 
734E-9 2.0834 0.19269 
735E-9 2.08628 0.18785 
736E-9 2.08902 0.18294 
737E-9 2.09161 0.17797 
738E-9 2.09391 0.1729 
739E-9 2.09608 0.1678 
740E-9 2.09803 0.16266 
741E-9 2.09972 0.15748 
742E-9 2.10126 0.15228 
743E-9 2.1025 0.14706 
744E-9 2.10353 0.14185 
745E-9 2.10439 0.13663 
746E-9 2.10486 0.13144 
747E-9 2.10517 0.12627 
748E-9 2.10525 0.12112 
749E-9 2.10504 0.11602 
750E-9 2.1047 0.11095 
751E-9 2.1041 0.10593 
752E-9 2.10331 0.10098 
753E-9 2.1024 0.09608 
754E-9 2.10124 0.09127 
755E-9 2.09997 0.08653 
756E-9 2.09857 0.08185 
757E-9 2.09697 0.07731 
758E-9 2.09529 0.07284 
759E-9 2.09349 0.06848 
760E-9 2.09155 0.06425 
761E-9 2.08955 0.06011 
762E-9 2.08743 0.05613 
763E-9 2.08524 0.05228 
764E-9 2.083 0.04852 
765E-9 2.08066 0.045 
766E-9 2.07829 0.04159 
767E-9 2.07587 0.03832 
768E-9 2.0734 0.03528 
769E-9 2.07092 0.03236 
770E-9 2.0684 0.02965 
771E-9 2.06587 0.02714 
772E-9 2.06333 0.02474 
773E-9 2.06077 0.02257 
774E-9 2.05821 0.02054 
775E-9 2.05565 0.01862 
