lambda n k
528E-9 0.13 2.92 
529E-9 0.13 2.92 
530E-9 0.13 2.92 
531E-9 0.13 2.92 
532E-9 0.13 2.92 
533E-9 0.13 2.92 
534E-9 0.13 2.92 
535E-9 0.13 2.92 
536E-9 0.13 2.92 
537E-9 0.13 2.92 
538E-9 0.13 2.92 
539E-9 0.13 2.92 
540E-9 0.13 2.92 
541E-9 0.13 2.92 
542E-9 0.13 2.92 
543E-9 0.13 2.92 
544E-9 0.13 2.92 
545E-9 0.13 2.92 
546E-9 0.13 2.92 
547E-9 0.13 2.92 
548E-9 0.13 2.92 
549E-9 0.13 2.92 
550E-9 0.13 2.92 
551E-9 0.13 2.92 
552E-9 0.13 2.92 
553E-9 0.13 2.92 
554E-9 0.13 2.92 
555E-9 0.13 2.92 
556E-9 0.13 2.92 
557E-9 0.13 2.92 
558E-9 0.13 2.92 
559E-9 0.13 2.92 
560E-9 0.13 2.92 
561E-9 0.13 2.92 
562E-9 0.13 2.92 
563E-9 0.13 2.92 
564E-9 0.13 2.92 
565E-9 0.13 2.92 
566E-9 0.13 2.92 
567E-9 0.13 2.92 
568E-9 0.13 2.92 
569E-9 0.13 2.92 
570E-9 0.13 2.92 
571E-9 0.13 2.92 
572E-9 0.13 2.92 
573E-9 0.13 2.92 
574E-9 0.13 2.92 
575E-9 0.13 2.92 
576E-9 0.13 2.92 
577E-9 0.13 2.92 
578E-9 0.13 2.92 
579E-9 0.13 2.92 
580E-9 0.13 2.92 
581E-9 0.13 2.92 
582E-9 0.13 2.92 
583E-9 0.13 2.92 
584E-9 0.13 2.92 
585E-9 0.13 2.92 
586E-9 0.13 2.92 
587E-9 0.13 2.92 
588E-9 0.13 2.92 
589E-9 0.13 2.92 
590E-9 0.13 2.92 
591E-9 0.13 2.92 
592E-9 0.13 2.92 
593E-9 0.13 2.92 
594E-9 0.13 2.92 
595E-9 0.13 2.92 
596E-9 0.13 2.92 
597E-9 0.13 2.92 
598E-9 0.13 2.92 
599E-9 0.13 2.92 
600E-9 0.13 2.92 
601E-9 0.13 2.92 
602E-9 0.13 2.92 
603E-9 0.13 2.92 
604E-9 0.13 2.92 
605E-9 0.13 2.92 
606E-9 0.13 2.92 
607E-9 0.13 2.92 
608E-9 0.13 2.92 
609E-9 0.13 2.92 
610E-9 0.13 2.92 
611E-9 0.13 2.92 
612E-9 0.13 2.92 
613E-9 0.13 2.92 
614E-9 0.13 2.92 
615E-9 0.13 2.92 
616E-9 0.13 2.92 
617E-9 0.13 2.92 
618E-9 0.13 2.92 
619E-9 0.13 2.92 
620E-9 0.13 2.92 
621E-9 0.13 2.92 
622E-9 0.13 2.92 
623E-9 0.13 2.92 
624E-9 0.13 2.92 
625E-9 0.13 2.92 
626E-9 0.13 2.92 
627E-9 0.13 2.92 
628E-9 0.13 2.92 
629E-9 0.13 2.92 
630E-9 0.13 2.92 
631E-9 0.13 2.92 
632E-9 0.13 2.92 
633E-9 0.13 2.92 
634E-9 0.13 2.92 
635E-9 0.13 2.92 
636E-9 0.13 2.92 
637E-9 0.13 2.92 
638E-9 0.13 2.92 
639E-9 0.13 2.92 
640E-9 0.13 2.92 
641E-9 0.13 2.92 
642E-9 0.13 2.92 
643E-9 0.13 2.92 
644E-9 0.13 2.92 
645E-9 0.13 2.92 
646E-9 0.13 2.92 
647E-9 0.13 2.92 
648E-9 0.13 2.92 
649E-9 0.13 2.92 
650E-9 0.13 2.92 
651E-9 0.13 2.92 
652E-9 0.13 2.92 
653E-9 0.13 2.92 
654E-9 0.13 2.92 
655E-9 0.13 2.92 
656E-9 0.13 2.92 
657E-9 0.13 2.92 
658E-9 0.13 2.92 
659E-9 0.13 2.92 
660E-9 0.13 2.92 
661E-9 0.13 2.92 
662E-9 0.13 2.92 
663E-9 0.13 2.92 
664E-9 0.13 2.92 
665E-9 0.13 2.92 
666E-9 0.13 2.92 
667E-9 0.13 2.92 
668E-9 0.13 2.92 
669E-9 0.13 2.92 
670E-9 0.13 2.92 
671E-9 0.13 2.92 
672E-9 0.13 2.92 
673E-9 0.13 2.92 
674E-9 0.13 2.92 
675E-9 0.13 2.92 
676E-9 0.13 2.92 
677E-9 0.13 2.92 
678E-9 0.13 2.92 
679E-9 0.13 2.92 
680E-9 0.13 2.92 
681E-9 0.13 2.92 
682E-9 0.13 2.92 
683E-9 0.13 2.92 
684E-9 0.13 2.92 
685E-9 0.13 2.92 
686E-9 0.13 2.92 
687E-9 0.13 2.92 
688E-9 0.13 2.92 
689E-9 0.13 2.92 
690E-9 0.13 2.92 
691E-9 0.13 2.92 
692E-9 0.13 2.92 
693E-9 0.13 2.92 
694E-9 0.13 2.92 
695E-9 0.13 2.92 
696E-9 0.13 2.92 
697E-9 0.13 2.92 
698E-9 0.13 2.92 
699E-9 0.13 2.92 
700E-9 0.13 2.92 
701E-9 0.13 2.92 
702E-9 0.13 2.92 
703E-9 0.13 2.92 
704E-9 0.13 2.92 
705E-9 0.13 2.92 
706E-9 0.13 2.92 
707E-9 0.13 2.92 
708E-9 0.13 2.92 
709E-9 0.13 2.92 
710E-9 0.13 2.92 
711E-9 0.13 2.92 
712E-9 0.13 2.92 
713E-9 0.13 2.92 
714E-9 0.13 2.92 
715E-9 0.13 2.92 
716E-9 0.13 2.92 
717E-9 0.13 2.92 
718E-9 0.13 2.92 
719E-9 0.13 2.92 
720E-9 0.13 2.92 
721E-9 0.13 2.92 
722E-9 0.13 2.92 
723E-9 0.13 2.92 
724E-9 0.13 2.92 
725E-9 0.13 2.92 
726E-9 0.13 2.92 
727E-9 0.13 2.92 
728E-9 0.13 2.92 
729E-9 0.13 2.92 
730E-9 0.13 2.92 
731E-9 0.13 2.92 
732E-9 0.13 2.92 
733E-9 0.13 2.92 
734E-9 0.13 2.92 
735E-9 0.13 2.92 
736E-9 0.13 2.92 
737E-9 0.13 2.92 
738E-9 0.13 2.92 
739E-9 0.13 2.92 
740E-9 0.13 2.92 
741E-9 0.13 2.92 
742E-9 0.13 2.92 
743E-9 0.13 2.92 
744E-9 0.13 2.92 
745E-9 0.13 2.92 
746E-9 0.13 2.92 
747E-9 0.13 2.92 
748E-9 0.13 2.92 
749E-9 0.13 2.92 
750E-9 0.13 2.92 
751E-9 0.13 2.92 
752E-9 0.13 2.92 
753E-9 0.13 2.92 
754E-9 0.13 2.92 
755E-9 0.13 2.92 
756E-9 0.13 2.92 
757E-9 0.13 2.92 
758E-9 0.13 2.92 
759E-9 0.13 2.92 
760E-9 0.13 2.92 
761E-9 0.13 2.92 
762E-9 0.13 2.92 
763E-9 0.13 2.92 
764E-9 0.13 2.92 
765E-9 0.13 2.92 
766E-9 0.13 2.92 
767E-9 0.13 2.92 
768E-9 0.13 2.92 
769E-9 0.13 2.92 
770E-9 0.13 2.92 
771E-9 0.13 2.92 
772E-9 0.13 2.92 
773E-9 0.13 2.92 
774E-9 0.13 2.92 
775E-9 0.13 2.92 
776E-9 0.13 2.92 
777E-9 0.13 2.92 
778E-9 0.13 2.92 
779E-9 0.13 2.92 
780E-9 0.13 2.92 
781E-9 0.13 2.92 
782E-9 0.13 2.92 
783E-9 0.13 2.92 
784E-9 0.13 2.92 
785E-9 0.13 2.92 
786E-9 0.13 2.92 
787E-9 0.13 2.92 
788E-9 0.13 2.92 
789E-9 0.13 2.92 
790E-9 0.13 2.92 
791E-9 0.13 2.92 
792E-9 0.13 2.92 
793E-9 0.13 2.92 
794E-9 0.13 2.92 
795E-9 0.13 2.92 
796E-9 0.13 2.92 
797E-9 0.13 2.92 
798E-9 0.13 2.92 
799E-9 0.13 2.92 
800E-9 0.13 2.92 
