lambda n k
583E-9 0.51597 2.47025 
584E-9 0.51306 2.47027 
585E-9 0.51014 2.47028 
586E-9 0.50722 2.47029 
587E-9 0.5043 2.47031 
588E-9 0.50138 2.47032 
589E-9 0.49864 2.47033 
590E-9 0.49648 2.47034 
591E-9 0.49432 2.47036 
592E-9 0.49215 2.47037 
593E-9 0.48999 2.47038 
594E-9 0.48783 2.4704 
595E-9 0.48567 2.47041 
596E-9 0.48351 2.47035 
597E-9 0.48134 2.47008 
598E-9 0.47918 2.46981 
599E-9 0.47702 2.46954 
600E-9 0.47486 2.46927 
601E-9 0.47269 2.46899 
602E-9 0.47053 2.46872 
603E-9 0.46837 2.46845 
604E-9 0.46621 2.46818 
605E-9 0.46405 2.46791 
606E-9 0.46188 2.46764 
607E-9 0.45972 2.46737 
608E-9 0.45756 2.4671 
609E-9 0.4554 2.46683 
610E-9 0.45323 2.46656 
611E-9 0.45107 2.46629 
612E-9 0.44891 2.46602 
613E-9 0.44688 2.46575 
614E-9 0.44507 2.46548 
615E-9 0.44325 2.46521 
616E-9 0.44144 2.46494 
617E-9 0.43962 2.46467 
618E-9 0.43781 2.4644 
619E-9 0.436 2.46413 
620E-9 0.43418 2.46386 
621E-9 0.43237 2.46358 
622E-9 0.43055 2.46331 
623E-9 0.42874 2.46304 
624E-9 0.42692 2.46277 
625E-9 0.42511 2.4625 
626E-9 0.4233 2.46223 
627E-9 0.42148 2.46196 
628E-9 0.41967 2.46169 
629E-9 0.41785 2.46142 
630E-9 0.41604 2.46115 
631E-9 0.41422 2.46088 
632E-9 0.41241 2.46061 
633E-9 0.41059 2.4601 
634E-9 0.40878 2.45947 
635E-9 0.40697 2.45884 
636E-9 0.40515 2.45822 
637E-9 0.40334 2.45759 
638E-9 0.40152 2.45696 
639E-9 0.40039 2.45633 
640E-9 0.39939 2.4557 
641E-9 0.39838 2.45507 
642E-9 0.39738 2.45444 
643E-9 0.39638 2.45382 
644E-9 0.39538 2.45319 
645E-9 0.39437 2.45256 
646E-9 0.39337 2.45193 
647E-9 0.39237 2.4513 
648E-9 0.39137 2.45067 
649E-9 0.39036 2.45004 
650E-9 0.38936 2.44942 
651E-9 0.38836 2.44879 
652E-9 0.38736 2.44816 
653E-9 0.38635 2.44753 
654E-9 0.38535 2.4469 
655E-9 0.38435 2.44627 
656E-9 0.38335 2.44565 
657E-9 0.38234 2.44502 
658E-9 0.38134 2.44439 
659E-9 0.38034 2.44376 
660E-9 0.37934 2.44313 
661E-9 0.37833 2.4425 
662E-9 0.37733 2.44187 
663E-9 0.37633 2.44125 
664E-9 0.37537 2.44062 
665E-9 0.37451 2.44019 
666E-9 0.37365 2.44021 
667E-9 0.3728 2.44022 
668E-9 0.37194 2.44023 
669E-9 0.37108 2.44024 
670E-9 0.37022 2.44026 
671E-9 0.36937 2.44027 
672E-9 0.36851 2.44028 
673E-9 0.36765 2.4403 
674E-9 0.36679 2.44031 
675E-9 0.36594 2.44032 
676E-9 0.36508 2.44034 
677E-9 0.36422 2.44035 
678E-9 0.36336 2.44036 
679E-9 0.36251 2.44037 
680E-9 0.36165 2.44039 
681E-9 0.36079 2.4404 
682E-9 0.35993 2.44041 
683E-9 0.35908 2.44043 
684E-9 0.35822 2.44044 
685E-9 0.35736 2.44045 
686E-9 0.3565 2.44047 
687E-9 0.35565 2.44048 
688E-9 0.35496 2.44049 
689E-9 0.35446 2.4405 
690E-9 0.35397 2.44052 
691E-9 0.35347 2.44053 
692E-9 0.35298 2.44054 
693E-9 0.35248 2.44056 
694E-9 0.35199 2.44057 
695E-9 0.35149 2.44058 
696E-9 0.351 2.44059 
697E-9 0.3505 2.4409 
698E-9 0.35001 2.44128 
699E-9 0.34951 2.44165 
700E-9 0.34902 2.44202 
701E-9 0.34852 2.44239 
702E-9 0.34803 2.44276 
703E-9 0.34753 2.44313 
704E-9 0.34704 2.44351 
705E-9 0.34654 2.44388 
706E-9 0.34605 2.44425 
707E-9 0.34555 2.44462 
708E-9 0.34507 2.44499 
709E-9 0.34482 2.44536 
710E-9 0.34456 2.44573 
711E-9 0.34431 2.44611 
712E-9 0.34406 2.44648 
713E-9 0.34381 2.44685 
714E-9 0.34356 2.44722 
715E-9 0.3433 2.44759 
716E-9 0.34305 2.44796 
717E-9 0.3428 2.44834 
718E-9 0.34255 2.44871 
719E-9 0.3423 2.44908 
720E-9 0.34204 2.44945 
721E-9 0.34179 2.44982 
722E-9 0.34154 2.45019 
723E-9 0.34129 2.45056 
724E-9 0.34104 2.45094 
725E-9 0.34078 2.45131 
726E-9 0.34053 2.45318 
727E-9 0.34028 2.45523 
728E-9 0.33972 2.45727 
729E-9 0.3388 2.45932 
730E-9 0.33787 2.46136 
731E-9 0.33695 2.46341 
732E-9 0.33602 2.46546 
733E-9 0.3351 2.4675 
734E-9 0.33417 2.46955 
735E-9 0.33325 2.47159 
736E-9 0.33233 2.47364 
737E-9 0.3314 2.47569 
738E-9 0.33048 2.47773 
739E-9 0.32955 2.47978 
740E-9 0.32863 2.48182 
741E-9 0.3277 2.48387 
742E-9 0.32678 2.48592 
743E-9 0.32585 2.48796 
744E-9 0.32493 2.49001 
745E-9 0.32401 2.49206 
746E-9 0.32308 2.4941 
747E-9 0.32216 2.49615 
748E-9 0.32123 2.49819 
749E-9 0.32031 2.50024 
750E-9 0.31883 2.50229 
751E-9 0.31618 2.50437 
752E-9 0.31353 2.50652 
753E-9 0.31087 2.50867 
754E-9 0.30822 2.51081 
755E-9 0.30557 2.51296 
756E-9 0.30292 2.51511 
757E-9 0.30027 2.51726 
758E-9 0.29762 2.51941 
759E-9 0.29497 2.52155 
760E-9 0.29232 2.5237 
761E-9 0.28966 2.52585 
762E-9 0.28701 2.528 
763E-9 0.28436 2.53015 
764E-9 0.27995 2.53229 
765E-9 0.27474 2.53444 
766E-9 0.26954 2.53659 
767E-9 0.26434 2.53874 
768E-9 0.25914 2.53938 
769E-9 0.25394 2.53749 
770E-9 0.24873 2.5356 
771E-9 0.24353 2.53371 
772E-9 0.23833 2.53181 
773E-9 0.23313 2.52992 
774E-9 0.22793 2.52803 
775E-9 0.22273 2.52614 
776E-9 0.21802 2.52425 
777E-9 0.21346 2.52236 
778E-9 0.20891 2.52047 
779E-9 0.20436 2.51858 
780E-9 0.19981 2.51669 
