lambda n k
549E-9 1.67914 0.02258 
550E-9 1.67861 0.0228 
551E-9 1.67809 0.02297 
552E-9 1.67756 0.02314 
553E-9 1.67718 0.02331 
554E-9 1.67693 0.02349 
555E-9 1.67667 0.02366 
556E-9 1.67642 0.02383 
557E-9 1.67616 0.024 
558E-9 1.67591 0.02418 
559E-9 1.67565 0.02435 
560E-9 1.67539 0.02452 
561E-9 1.67514 0.02469 
562E-9 1.67488 0.02486 
563E-9 1.67463 0.02504 
564E-9 1.67437 0.02521 
565E-9 1.67412 0.02546 
566E-9 1.67386 0.02572 
567E-9 1.67361 0.02597 
568E-9 1.67335 0.02623 
569E-9 1.6731 0.02648 
570E-9 1.67284 0.02674 
571E-9 1.67259 0.02699 
572E-9 1.67233 0.02724 
573E-9 1.67208 0.0275 
574E-9 1.67182 0.02775 
575E-9 1.67156 0.02801 
576E-9 1.67131 0.02826 
577E-9 1.67105 0.02851 
578E-9 1.6708 0.02877 
579E-9 1.67054 0.02902 
580E-9 1.67029 0.02928 
581E-9 1.67003 0.0296 
582E-9 1.66978 0.02999 
583E-9 1.66952 0.03038 
584E-9 1.66927 0.03077 
585E-9 1.66901 0.03116 
586E-9 1.66871 0.03156 
587E-9 1.66815 0.03195 
588E-9 1.66759 0.03234 
589E-9 1.66702 0.03273 
590E-9 1.66646 0.03312 
591E-9 1.6659 0.03351 
592E-9 1.66533 0.0339 
593E-9 1.66477 0.0343 
594E-9 1.66421 0.0346 
595E-9 1.66364 0.03485 
596E-9 1.66308 0.03511 
597E-9 1.66252 0.03536 
598E-9 1.66195 0.03561 
599E-9 1.66139 0.03587 
600E-9 1.66083 0.03612 
601E-9 1.66026 0.03638 
602E-9 1.6597 0.03663 
603E-9 1.65914 0.03688 
604E-9 1.65857 0.03714 
605E-9 1.65801 0.03739 
606E-9 1.65745 0.03765 
607E-9 1.65688 0.0379 
608E-9 1.65632 0.03816 
609E-9 1.65576 0.03841 
610E-9 1.65519 0.03866 
611E-9 1.6548 0.03893 
612E-9 1.65441 0.03919 
613E-9 1.65401 0.03945 
614E-9 1.65362 0.03971 
615E-9 1.65323 0.03997 
616E-9 1.65283 0.04023 
617E-9 1.65244 0.04049 
618E-9 1.65205 0.04076 
619E-9 1.65165 0.04102 
620E-9 1.65126 0.04128 
621E-9 1.65087 0.04154 
622E-9 1.65047 0.0418 
623E-9 1.65008 0.04208 
624E-9 1.64969 0.04241 
625E-9 1.64929 0.04274 
626E-9 1.6489 0.04307 
627E-9 1.64851 0.0434 
628E-9 1.64811 0.04373 
629E-9 1.64772 0.04406 
630E-9 1.64732 0.04439 
631E-9 1.64693 0.04472 
632E-9 1.64654 0.04505 
633E-9 1.64614 0.04538 
634E-9 1.64575 0.04571 
635E-9 1.64536 0.04604 
636E-9 1.64497 0.04637 
637E-9 1.64462 0.0467 
638E-9 1.64427 0.04703 
639E-9 1.64392 0.04736 
640E-9 1.64358 0.04768 
641E-9 1.64323 0.04801 
642E-9 1.64288 0.04834 
643E-9 1.64253 0.04867 
644E-9 1.64219 0.04899 
645E-9 1.64184 0.04932 
646E-9 1.64149 0.04965 
647E-9 1.64114 0.04997 
648E-9 1.64079 0.0503 
649E-9 1.64045 0.05063 
650E-9 1.6401 0.05096 
651E-9 1.63975 0.05128 
652E-9 1.6394 0.05161 
653E-9 1.63906 0.05181 
654E-9 1.63871 0.05199 
655E-9 1.63836 0.05217 
656E-9 1.63801 0.05235 
657E-9 1.63767 0.05254 
658E-9 1.63732 0.05272 
659E-9 1.63697 0.0529 
660E-9 1.63662 0.05308 
661E-9 1.63628 0.05327 
662E-9 1.63593 0.05345 
663E-9 1.63558 0.05363 
664E-9 1.63523 0.05381 
665E-9 1.63489 0.054 
666E-9 1.6346 0.05418 
667E-9 1.63439 0.05436 
668E-9 1.63419 0.05455 
669E-9 1.63399 0.05473 
670E-9 1.63379 0.05491 
671E-9 1.63358 0.05516 
672E-9 1.63338 0.05546 
673E-9 1.63318 0.05577 
674E-9 1.63298 0.05608 
675E-9 1.63278 0.05638 
676E-9 1.63257 0.05669 
677E-9 1.63237 0.05699 
678E-9 1.63217 0.0573 
679E-9 1.63197 0.0576 
680E-9 1.63176 0.05791 
681E-9 1.63156 0.05821 
682E-9 1.63136 0.05852 
683E-9 1.63116 0.05882 
684E-9 1.63096 0.05913 
685E-9 1.63075 0.05944 
686E-9 1.63055 0.05974 
687E-9 1.63035 0.06005 
688E-9 1.63015 0.06035 
689E-9 1.62994 0.06066 
690E-9 1.62974 0.06096 
691E-9 1.62954 0.06127 
692E-9 1.62934 0.06157 
693E-9 1.62914 0.06188 
694E-9 1.62893 0.06217 
695E-9 1.62873 0.06247 
696E-9 1.62853 0.06277 
697E-9 1.62833 0.06307 
698E-9 1.62812 0.06337 
699E-9 1.62792 0.06367 
700E-9 1.62773 0.06396 
701E-9 1.62753 0.06426 
702E-9 1.62734 0.06456 
703E-9 1.62715 0.06486 
704E-9 1.62695 0.06516 
705E-9 1.62676 0.06546 
706E-9 1.62656 0.06575 
707E-9 1.62637 0.06605 
708E-9 1.62617 0.06635 
709E-9 1.62598 0.06665 
710E-9 1.62579 0.06695 
711E-9 1.62559 0.06725 
712E-9 1.6254 0.06754 
713E-9 1.6252 0.06784 
