lambda n k
499E-9 1.43285 0.16117 
500E-9 1.42905 0.16308 
501E-9 1.42527 0.16511 
502E-9 1.4215 0.16721 
503E-9 1.41774 0.16946 
504E-9 1.41398 0.17182 
505E-9 1.41023 0.17429 
506E-9 1.40647 0.17692 
507E-9 1.40271 0.17961 
508E-9 1.39893 0.18241 
509E-9 1.39515 0.1853 
510E-9 1.39136 0.18824 
511E-9 1.38755 0.19125 
512E-9 1.38372 0.19431 
513E-9 1.37988 0.19739 
514E-9 1.37601 0.20052 
515E-9 1.37212 0.20367 
516E-9 1.3682 0.20686 
517E-9 1.36425 0.21016 
518E-9 1.36029 0.21353 
519E-9 1.35629 0.21708 
520E-9 1.35229 0.22082 
521E-9 1.34827 0.22468 
522E-9 1.34423 0.22891 
523E-9 1.34019 0.23334 
524E-9 1.33614 0.23802 
525E-9 1.33209 0.24315 
526E-9 1.32804 0.24848 
527E-9 1.324 0.25417 
528E-9 1.31997 0.26009 
529E-9 1.31594 0.26615 
530E-9 1.31191 0.2724 
531E-9 1.30788 0.27869 
532E-9 1.30385 0.28502 
533E-9 1.2998 0.29131 
534E-9 1.29575 0.29754 
535E-9 1.29167 0.30365 
536E-9 1.28755 0.30954 
537E-9 1.28341 0.31531 
538E-9 1.27924 0.32081 
539E-9 1.27505 0.32623 
540E-9 1.27086 0.33157 
541E-9 1.2667 0.33692 
542E-9 1.26256 0.34231 
543E-9 1.25848 0.34782 
544E-9 1.25449 0.35355 
545E-9 1.25057 0.35942 
546E-9 1.2468 0.36568 
547E-9 1.24316 0.37226 
548E-9 1.23964 0.37909 
549E-9 1.23641 0.38659 
550E-9 1.23332 0.39435 
551E-9 1.23046 0.40249 
552E-9 1.22791 0.41103 
553E-9 1.22553 0.41975 
554E-9 1.22351 0.42879 
555E-9 1.22176 0.43798 
556E-9 1.22021 0.44728 
557E-9 1.21915 0.45673 
558E-9 1.21829 0.46619 
559E-9 1.21773 0.47567 
560E-9 1.2176 0.48508 
561E-9 1.21768 0.49445 
562E-9 1.21814 0.50369 
563E-9 1.21888 0.51284 
564E-9 1.21978 0.52193 
565E-9 1.22101 0.53088 
566E-9 1.22235 0.53978 
567E-9 1.22382 0.54861 
568E-9 1.22545 0.55737 
569E-9 1.22713 0.5661 
570E-9 1.22889 0.57478 
571E-9 1.23067 0.58344 
572E-9 1.23245 0.59208 
573E-9 1.23421 0.60071 
574E-9 1.23593 0.60935 
575E-9 1.23761 0.618 
576E-9 1.23928 0.62671 
577E-9 1.24097 0.63544 
578E-9 1.24271 0.64425 
579E-9 1.24457 0.65316 
580E-9 1.24652 0.66213 
581E-9 1.24867 0.67124 
582E-9 1.25101 0.68046 
583E-9 1.25349 0.68976 
584E-9 1.25637 0.69927 
585E-9 1.25944 0.70888 
586E-9 1.26281 0.71863 
587E-9 1.2666 0.72857 
588E-9 1.27063 0.73861 
589E-9 1.27513 0.74884 
590E-9 1.27998 0.75916 
591E-9 1.28506 0.76955 
592E-9 1.29073 0.78004 
593E-9 1.29663 0.79055 
594E-9 1.30288 0.80108 
595E-9 1.30957 0.81159 
596E-9 1.31649 0.82208 
597E-9 1.32384 0.83252 
598E-9 1.33153 0.84288 
599E-9 1.33943 0.85319 
600E-9 1.34783 0.86336 
601E-9 1.35645 0.87343 
602E-9 1.36535 0.88339 
603E-9 1.37466 0.89313 
604E-9 1.38414 0.90273 
605E-9 1.39393 0.91203 
606E-9 1.40398 0.92098 
607E-9 1.41418 0.92971 
608E-9 1.42467 0.93786 
609E-9 1.43531 0.94565 
610E-9 1.44608 0.95307 
611E-9 1.45708 0.95973 
612E-9 1.46817 0.96603 
613E-9 1.47941 0.97172 
614E-9 1.49077 0.97668 
615E-9 1.5022 0.98122 
616E-9 1.51377 0.98485 
617E-9 1.52541 0.98788 
618E-9 1.53712 0.99041 
619E-9 1.54886 0.99202 
620E-9 1.56059 0.9933 
621E-9 1.57229 0.9941 
622E-9 1.58387 0.99446 
623E-9 1.59537 0.99462 
624E-9 1.60668 0.99446 
625E-9 1.61779 0.99417 
626E-9 1.62876 0.99379 
627E-9 1.63931 0.99334 
628E-9 1.64965 0.99292 
629E-9 1.65969 0.99255 
630E-9 1.66924 0.99234 
631E-9 1.67852 0.99225 
632E-9 1.68729 0.9924 
633E-9 1.69559 0.99284 
634E-9 1.7036 0.99346 
635E-9 1.71098 0.99444 
636E-9 1.71813 0.99557 
637E-9 1.72499 0.99688 
638E-9 1.73151 0.99841 
639E-9 1.73791 1.00003 
640E-9 1.74412 1.00177 
641E-9 1.75021 1.0036 
642E-9 1.75624 1.00547 
643E-9 1.76223 1.00739 
644E-9 1.76826 1.00931 
645E-9 1.77431 1.01124 
646E-9 1.78052 1.01312 
647E-9 1.78682 1.01496 
648E-9 1.79328 1.01674 
649E-9 1.8 1.01841 
650E-9 1.80688 1.02002 
651E-9 1.81409 1.0215 
652E-9 1.82156 1.02292 
653E-9 1.82922 1.02429 
654E-9 1.83733 1.02559 
655E-9 1.84565 1.02689 
656E-9 1.85426 1.02816 
657E-9 1.86328 1.02946 
658E-9 1.87252 1.03077 
659E-9 1.88216 1.03213 
660E-9 1.89215 1.03355 
661E-9 1.90237 1.03502 
662E-9 1.91311 1.03661 
663E-9 1.92412 1.03828 
664E-9 1.93544 1.04004 
665E-9 1.94726 1.04197 
666E-9 1.95932 1.044 
667E-9 1.9718 1.0462 
668E-9 1.98467 1.04851 
669E-9 1.99777 1.05088 
670E-9 2.01131 1.05323 
671E-9 2.02507 1.05547 
672E-9 2.03905 1.05762 
673E-9 2.05337 1.0594 
674E-9 2.06783 1.06096 
675E-9 2.0825 1.06215 
676E-9 2.09738 1.0628 
677E-9 2.11237 1.06312 
678E-9 2.12756 1.06274 
679E-9 2.14287 1.06177 
680E-9 2.15825 1.06038 
681E-9 2.17382 1.05786 
682E-9 2.18946 1.05483 
683E-9 2.20518 1.05105 
684E-9 2.22103 1.04615 
685E-9 2.23694 1.04067 
686E-9 2.25295 1.03407 
687E-9 2.269 1.02656 
688E-9 2.28506 1.01847 
689E-9 2.30103 1.0092 
690E-9 2.31691 0.99939 
691E-9 2.33267 0.98899 
692E-9 2.34812 0.97771 
693E-9 2.36339 0.96604 
694E-9 2.37833 0.95374 
695E-9 2.39284 0.94087 
696E-9 2.40709 0.92768 
697E-9 2.42073 0.91388 
698E-9 2.43392 0.89973 
699E-9 2.44674 0.88529 
700E-9 2.45865 0.87031 
701E-9 2.47013 0.85511 
702E-9 2.48095 0.83959 
703E-9 2.49087 0.8237 
704E-9 2.50028 0.80762 
705E-9 2.50868 0.7912 
706E-9 2.51627 0.77455 
707E-9 2.52332 0.75775 
708E-9 2.52919 0.74067 
709E-9 2.53456 0.72349 
710E-9 2.5393 0.7062 
711E-9 2.54313 0.68884 
712E-9 2.54655 0.67145 
713E-9 2.54925 0.65405 
714E-9 2.55133 0.6367 
715E-9 2.55304 0.6194 
716E-9 2.55398 0.60225 
717E-9 2.5545 0.58524 
718E-9 2.55463 0.56836 
719E-9 2.55406 0.55181 
720E-9 2.5532 0.53544 
721E-9 2.55187 0.51938 
722E-9 2.55002 0.50373 
723E-9 2.5479 0.48833 
724E-9 2.54526 0.47345 
725E-9 2.54225 0.45901 
726E-9 2.53898 0.44489 
