lambda n k
500E-9 1.96749 0.40101 
501E-9 1.96899 0.40022 
502E-9 1.97044 0.39944 
503E-9 1.97181 0.3987 
504E-9 1.97312 0.39798 
505E-9 1.97439 0.39729 
506E-9 1.97557 0.39666 
507E-9 1.97672 0.39605 
508E-9 1.97783 0.39549 
509E-9 1.97888 0.395 
510E-9 1.97991 0.39453 
511E-9 1.98089 0.39414 
512E-9 1.98186 0.39381 
513E-9 1.9828 0.39351 
514E-9 1.98372 0.39332 
515E-9 1.98463 0.39316 
516E-9 1.98554 0.39307 
517E-9 1.98645 0.39306 
518E-9 1.98737 0.39309 
519E-9 1.9883 0.39321 
520E-9 1.98925 0.39338 
521E-9 1.99022 0.3936 
522E-9 1.99123 0.39391 
523E-9 1.99227 0.39427 
524E-9 1.99335 0.39467 
525E-9 1.99449 0.39515 
526E-9 1.99566 0.39565 
527E-9 1.9969 0.39621 
528E-9 1.99821 0.39682 
529E-9 1.99956 0.39745 
530E-9 2.00102 0.39812 
531E-9 2.00253 0.39882 
532E-9 2.0041 0.39953 
533E-9 2.00579 0.40027 
534E-9 2.00753 0.40101 
535E-9 2.00937 0.40175 
536E-9 2.0113 0.40249 
537E-9 2.01328 0.40323 
538E-9 2.01539 0.40394 
539E-9 2.01758 0.40462 
540E-9 2.01982 0.40529 
541E-9 2.0222 0.4059 
542E-9 2.02463 0.40649 
543E-9 2.02714 0.40702 
544E-9 2.02975 0.40748 
545E-9 2.03241 0.4079 
546E-9 2.03517 0.40823 
547E-9 2.03798 0.40848 
548E-9 2.04085 0.40869 
549E-9 2.04381 0.40876 
550E-9 2.0468 0.40876 
551E-9 2.04984 0.40868 
552E-9 2.05293 0.40846 
553E-9 2.05605 0.40818 
554E-9 2.05921 0.40775 
555E-9 2.06239 0.40722 
556E-9 2.06558 0.40661 
557E-9 2.06878 0.40582 
558E-9 2.07198 0.40494 
559E-9 2.07518 0.40395 
560E-9 2.07835 0.40279 
561E-9 2.08151 0.40156 
562E-9 2.08462 0.40017 
