lambda n k
499E-9 1.62098 0.17614 
500E-9 1.62318 0.17751 
501E-9 1.62562 0.17932 
502E-9 1.62819 0.18135 
503E-9 1.631 0.18379 
504E-9 1.63393 0.18644 
505E-9 1.63696 0.18925 
506E-9 1.64013 0.1923 
507E-9 1.64333 0.19541 
508E-9 1.64659 0.1986 
509E-9 1.64986 0.20182 
510E-9 1.65313 0.20503 
511E-9 1.65637 0.20819 
512E-9 1.65955 0.21127 
513E-9 1.6627 0.21429 
514E-9 1.66572 0.21714 
515E-9 1.66867 0.21992 
516E-9 1.67154 0.2226 
517E-9 1.67424 0.22511 
518E-9 1.67687 0.22753 
519E-9 1.67932 0.22979 
520E-9 1.68161 0.23189 
521E-9 1.68381 0.2339 
522E-9 1.68574 0.23567 
523E-9 1.68757 0.23733 
524E-9 1.68927 0.23885 
525E-9 1.69085 0.24017 
526E-9 1.6924 0.24138 
527E-9 1.69393 0.24243 
528E-9 1.6955 0.24333 
529E-9 1.6971 0.24414 
530E-9 1.69886 0.24475 
531E-9 1.70074 0.24527 
532E-9 1.70275 0.24568 
533E-9 1.70506 0.24592 
534E-9 1.70752 0.24608 
535E-9 1.71025 0.24611 
536E-9 1.71324 0.24599 
537E-9 1.71638 0.24578 
538E-9 1.71982 0.24537 
539E-9 1.72341 0.24484 
540E-9 1.72716 0.24419 
541E-9 1.73118 0.24331 
542E-9 1.7353 0.24233 
543E-9 1.7396 0.24117 
544E-9 1.74408 0.23981 
545E-9 1.74866 0.23833 
546E-9 1.75341 0.23662 
547E-9 1.75826 0.23475 
548E-9 1.76317 0.23276 
549E-9 1.76817 0.23053 
550E-9 1.77318 0.2282 
551E-9 1.77821 0.22572 
552E-9 1.7832 0.22306 
553E-9 1.78816 0.22032 
554E-9 1.79304 0.2174 
555E-9 1.79782 0.21436 
556E-9 1.80254 0.21124 
557E-9 1.80705 0.20793 
558E-9 1.81145 0.20455 
559E-9 1.8157 0.20106 
560E-9 1.81972 0.19742 
561E-9 1.82363 0.19372 
562E-9 1.82731 0.18989 
563E-9 1.83079 0.18596 
564E-9 1.83416 0.18196 
565E-9 1.83722 0.17781 
566E-9 1.84013 0.17359 
567E-9 1.84287 0.16929 
568E-9 1.84531 0.16487 
569E-9 1.84762 0.16038 
570E-9 1.84967 0.15579 
571E-9 1.85148 0.1511 
572E-9 1.85315 0.14636 
573E-9 1.8545 0.14152 
574E-9 1.85569 0.13665 
575E-9 1.85672 0.13174 
576E-9 1.85747 0.1268 
577E-9 1.85809 0.12185 
578E-9 1.85851 0.11691 
579E-9 1.85873 0.112 
580E-9 1.85883 0.1071 
581E-9 1.8587 0.10227 
582E-9 1.85843 0.09749 
583E-9 1.85804 0.09277 
584E-9 1.85742 0.08817 
585E-9 1.8567 0.08364 
586E-9 1.85583 0.07921 
587E-9 1.85479 0.07491 
588E-9 1.85366 0.07069 
589E-9 1.85235 0.06662 
590E-9 1.85094 0.06267 
591E-9 1.84944 0.0588 
592E-9 1.84775 0.05513 
593E-9 1.84599 0.05155 
594E-9 1.84413 0.04811 
595E-9 1.84214 0.04485 
596E-9 1.84008 0.04168 
597E-9 1.8379 0.0387 
598E-9 1.83564 0.03588 
599E-9 1.83331 0.03316 
600E-9 1.83086 0.03069 
601E-9 1.82837 0.02832 
602E-9 1.82581 0.02608 
603E-9 1.82318 0.02403 
604E-9 1.82053 0.02206 
605E-9 1.81783 0.02025 
606E-9 1.8151 0.01856 
607E-9 1.81236 0.01695 
608E-9 1.8096 0.0155 
609E-9 1.80684 0.01412 
610E-9 1.80408 0.01283 
611E-9 1.80135 0.01166 
612E-9 1.79863 0.01055 
613E-9 1.79595 0.00953 
614E-9 1.79331 0.0086 
615E-9 1.79069 0.00771 
616E-9 1.78815 0.00692 
617E-9 1.78564 0.00618 
618E-9 1.78317 0.00548 
619E-9 1.78079 0.00487 
620E-9 1.77844 0.0043 
621E-9 1.77615 0.00378 
622E-9 1.77393 0.00332 
623E-9 1.77176 0.00289 
624E-9 1.76967 0.00251 
625E-9 1.76764 0.00217 
626E-9 1.76565 0.00185 
627E-9 1.76378 0.00159 
628E-9 1.76196 0.00134 
629E-9 1.7602 0.00113 
630E-9 1.75855 9.40957E-4 
631E-9 1.75694 7.70931E-4 
632E-9 1.75542 6.26848E-4 
633E-9 1.75396 5.02714E-4 
634E-9 1.75254 3.91023E-4 
635E-9 1.75121 3.04817E-4 
636E-9 1.7499 2.29224E-4 
637E-9 1.74864 1.65669E-4 
638E-9 1.74743 1.19264E-4 
639E-9 1.74625 7.95965E-5 
640E-9 1.7451 5.06473E-5 
641E-9 1.74397 3.0525E-5 
642E-9 1.74286 1.51518E-5 
643E-9 1.74178 7.59959E-6 
644E-9 1.7407 2.68234E-6 
645E-9 1.73963 1.64727E-7 
646E-9 1.73857 0 
647E-9 1.7375 0 
648E-9 1.73644 0 
649E-9 1.73537 0 
650E-9 1.73431 0 
651E-9 1.73325 0 
652E-9 1.73218 0 
653E-9 1.73112 0 
654E-9 1.73006 0 
655E-9 1.72901 0 
656E-9 1.72795 0 
657E-9 1.7269 0 
658E-9 1.72585 0 
659E-9 1.72481 0 
660E-9 1.72377 0 
661E-9 1.72273 0 
662E-9 1.7217 0 
663E-9 1.72067 0 
664E-9 1.71965 0 
665E-9 1.71864 0 
666E-9 1.71763 0 
667E-9 1.71662 0 
668E-9 1.71562 0 
669E-9 1.71463 0 
670E-9 1.71364 0 
671E-9 1.71266 0 
672E-9 1.71168 0 
