V   J   P  recLan  recSRH  Jbimo  JSRH_bulk  JSRH_LI  JSRH_RI  Jph  Jn_l  Jp_l  Jn_r  Jp_r  Vext  Jext
0.300000   -4.7374299666939017E+001    1.0000000000000000E+000   2.0863444112484580E+026    0.0000000000000000E+000   1.6713705036022311E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.7374008767357168E+001   4.6093607555145170E-013   4.7348930414125645E-013  -4.7374620371384538E+001   2.9999999999999999E-001  -4.7374299666939017E+001
0.330000   -4.6836727951060844E+001    1.0000000000000000E+000   2.1534486890728590E+026    0.0000000000000000E+000   1.7251277404306990E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.6836442751444693E+001   5.2725650098545344E-013   5.4020902546266661E-013  -4.6837044502700870E+001   3.2999999999999996E-001  -4.6836727951060844E+001
0.360000   -4.6276452172483786E+001    1.0000000000000000E+000   2.2233870885084760E+026    0.0000000000000000E+000   1.7811553920761398E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.6276174069411674E+001   6.0322194339724204E-013   6.1641467513685858E-013  -4.6276763289156683E+001   3.5999999999999999E-001  -4.6276452172483786E+001
0.390000   -4.5692421923021755E+001    1.0000000000000000E+000   2.2962903112413693E+026    0.0000000000000000E+000   1.8395581636589910E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.5692185377451153E+001   6.9026180843353706E-013   7.0347008234246757E-013  -4.5692680472083680E+001   3.9000000000000001E-001  -4.5692421923021755E+001
0.420000   -4.5083553669309651E+001    1.0000000000000000E+000   2.3722944035457842E+026    0.0000000000000000E+000   1.9004450418492720E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.5083327675803403E+001   7.9000965551365425E-013   8.0295192008423660E-013  -4.5083802613344865E+001   4.1999999999999998E-001  -4.5083553669309651E+001
0.450000   -4.4448714822853944E+001    1.0000000000000000E+000   2.4515403705378078E+026    0.0000000000000000E+000   1.9639289858451960E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.4448498963053886E+001   9.0435655659367933E-013   9.1665749070779391E-013  -4.4448954686474607E+001   4.4999999999999996E-001  -4.4448714822853944E+001
0.480000   -4.3786733829794855E+001    1.0000000000000000E+000   2.5341744570518655E+026    0.0000000000000000E+000   2.0301271523833204E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.3786529905253602E+001   1.0354766260229042E-012   1.0466525921747937E-012  -4.3786962905212626E+001   4.7999999999999998E-001  -4.3786733829794855E+001
0.510000   -4.3096395247489660E+001    1.0000000000000000E+000   2.6203480148711639E+026    0.0000000000000000E+000   2.0991607893768659E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.3096227106916444E+001   1.1858797193886432E-012   1.1953009350614727E-012  -4.3096580954329681E+001   5.1000000000000001E-001  -4.3096395247489660E+001
0.540000   -4.2376448887526024E+001    1.0000000000000000E+000   2.7102178003869459E+026    0.0000000000000000E+000   2.1711554743705349E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.2376295969211334E+001   1.3584351546370419E-012   1.3653364141764270E-012  -4.2376620156816095E+001   5.4000000000000004E-001  -4.2376448887526024E+001
0.570000   -4.1625596290409433E+001    1.0000000000000000E+000   2.8039455684049991E+026    0.0000000000000000E+000   2.2462407891389176E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.1625459213201999E+001   1.5564638995263965E-012   1.5598761276778763E-012  -4.1625752263108495E+001   5.6999999999999995E-001  -4.1625596290409433E+001
0.600000   -4.0842499100664796E+001    1.0000000000000000E+000   2.9016983854606266E+026    0.0000000000000000E+000   2.3245505706831054E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.0842380071522292E+001   1.7837805327714467E-012   1.7825010505933271E-012  -4.0842637628253641E+001   5.9999999999999998E-001  -4.0842499100664796E+001
0.630000   -4.0025776168484015E+001    1.0000000000000000E+000   3.0036486594718768E+026    0.0000000000000000E+000   2.4062229349858928E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.0025677546785595E+001   2.0447684157922785E-012   2.0373163537389274E-012  -4.0025894750497493E+001   6.3000000000000000E-001  -4.0025776168484015E+001
0.660000   -3.9173999852850230E+001    1.0000000000000000E+000   3.1099742216936127E+026    0.0000000000000000E+000   2.4914003426651895E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.9173931522577227E+001   2.3444728946490721E-012   2.3290082192144336E-012  -3.9174082968478849E+001   6.5999999999999992E-001  -3.9173999852850230E+001
0.690000   -3.8285702700765128E+001    1.0000000000000000E+000   3.2208589669277808E+026    0.0000000000000000E+000   2.5802301118464612E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.8285657015859442E+001   2.6886327436259207E-012   2.6629786502234002E-012  -3.8285763352981341E+001   6.8999999999999995E-001  -3.8285702700765128E+001
0.720000   -3.7359360649153082E+001    1.0000000000000000E+000   3.3364928035069125E+026    0.0000000000000000E+000   2.6728643780945095E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.7359338906863634E+001   3.0838455725263130E-012   3.0453532618458217E-012  -3.7359397520159050E+001   7.1999999999999997E-001  -3.7359360649153082E+001
0.750000   -3.6393396231436881E+001    1.0000000000000000E+000   3.4570726466159968E+026    0.0000000000000000E+000   2.7694608901636332E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.6393400121997722E+001   3.5376169083943822E-012   3.4831172154380500E-012  -3.6393407388202874E+001   7.5000000000000000E-001  -3.6393396231436881E+001
0.780000   -3.5386166787396874E+001    1.0000000000000000E+000   3.5828031934968857E+026    0.0000000000000000E+000   2.8701836310138606E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.5386193470757668E+001   4.0584843530287614E-012   3.9841732393727549E-012  -3.5386151845427349E+001   7.8000000000000003E-001  -3.5386166787396874E+001
0.810000   -3.4335962293040332E+001    1.0000000000000000E+000   3.7138985710590163E+026    0.0000000000000000E+000   2.9752041377119024E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.4336012956710881E+001   4.6560123556983610E-012   4.5575198588700399E-012  -3.4335923021369346E+001   8.0999999999999994E-001  -3.4335962293040332E+001
0.840000   -3.3240980192074758E+001    1.0000000000000000E+000   3.8505834744126711E+026    0.0000000000000000E+000   3.0847024135101520E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.3241054623255586E+001   5.3409823527627035E-012   5.2132020377808904E-012  -3.3240916584517421E+001   8.3999999999999997E-001  -3.3240980192074758E+001
0.870000   -3.2101091874303052E+001    1.0000000000000000E+000   3.9928739718902317E+026    0.0000000000000000E+000   3.1986913307496462E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.2101188179959465E+001   6.1249769814826293E-012   5.9620720756155656E-012  -3.2101005696300973E+001   8.7000000000000000E-001  -3.2101091874303052E+001
0.900000   -3.0912510490593309E+001    1.0000000000000000E+000   4.1412424128634463E+026    0.0000000000000000E+000   3.3175492885111304E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -3.0912616029002063E+001   7.0214213949459428E-012   6.8167500507996244E-012  -3.0912413058911962E+001   8.9999999999999991E-001  -3.0912510490593309E+001
0.930000   -2.9672225194802053E+001    1.0000000000000000E+000   4.2960652844787697E+026    0.0000000000000000E+000   3.4415778906468674E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.9672340299946626E+001   8.0445665127968604E-012   7.7910150329936457E-012  -2.9672117018969644E+001   9.2999999999999994E-001  -2.9672225194802053E+001
0.960000   -2.8378404131045464E+001    1.0000000000000000E+000   4.4575709803571220E+026    0.0000000000000000E+000   3.5709601032861016E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.8378519657593433E+001   9.2091065161772319E-012   8.8990148589775556E-012  -2.8378294045341107E+001   9.5999999999999996E-001  -2.8378404131045464E+001
