V   J   P  recLan  recSRH  Jbimo  JSRH_bulk  JSRH_LI  JSRH_RI  Jph  Jn_l  Jp_l  Jn_r  Jp_r  Vext  Jext
0.780000   -4.4963762444240231E+001    1.0000000000000000E+000   3.9112907458681930E+026    0.0000000000000000E+000   3.1333350085495383E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -4.7957079595344275E+001   2.9931836490468036E+000   2.6528313370293384E-002  -4.4990180954521506E+001   7.8000000000000003E-001  -4.4963762444240231E+001
0.810000   -4.2380894029271758E+001    1.0000000000000000E+000   4.1952879900982578E+026    0.0000000000000000E+000   3.3608452003238732E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -4.5681359262032956E+001   3.3003348369080534E+000   2.7143450996692780E-002  -4.2407929384025181E+001   8.0999999999999994E-001  -4.2380894029271758E+001
0.840000   -3.9604798954877879E+001    1.0000000000000000E+000   4.4939343278569835E+026    0.0000000000000000E+000   3.6000907808941861E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -4.3288172270954639E+001   3.6832688868487717E+000   2.7849884602803462E-002  -3.9632561707127834E+001   8.3999999999999997E-001  -3.9604798954877879E+001
0.870000   -3.6622741228616874E+001    1.0000000000000000E+000   4.8056681258972224E+026    0.0000000000000000E+000   3.8498207258693675E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -4.0790043342061679E+001   4.1672136254814163E+000   2.8664144678475657E-002  -3.6651330871575588E+001   8.7000000000000000E-001  -3.6622741228616874E+001
0.900000   -3.3421475776029794E+001    1.0000000000000000E+000   5.1300504363672082E+026    0.0000000000000000E+000   4.1096833941262545E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -3.8190469511598430E+001   4.7689104093849837E+000   2.9606278657217367E-002  -3.3451011182491989E+001   8.9999999999999991E-001  -3.3421475776029794E+001
0.930000   -2.9993513479542017E+001    1.0000000000000000E+000   5.4648158189951210E+026    0.0000000000000000E+000   4.3778639414677166E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -3.5507557436792652E+001   5.5139801873828223E+000   3.0694442104944389E-002  -3.0024153035345808E+001   9.2999999999999994E-001  -2.9993513479542017E+001
0.960000   -2.6324095729838369E+001    1.0000000000000000E+000   5.8081527813571990E+026    0.0000000000000000E+000   4.6529111813167596E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -3.2755820554020133E+001   6.4316686631197344E+000   3.1951758699367984E-002  -2.6355998462015144E+001   9.5999999999999996E-001  -2.6324095729838369E+001
0.990000   -2.2411790764672119E+001    1.0000000000000000E+000   6.1568591386933274E+026    0.0000000000000000E+000   4.9322598434685787E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -2.9960875442969993E+001   7.5490438149199672E+000   3.3395936065650160E-002  -2.2445150425361657E+001   9.8999999999999999E-001  -2.2411790764672119E+001
1.020000   -1.8259334161562940E+001    1.0000000000000000E+000   6.5074806137880752E+026    0.0000000000000000E+000   5.2131427064529284E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -2.7150389701808884E+001   8.8910258013108177E+000   3.5042665419421228E-002  -1.8294349907416425E+001   1.0200000000000000E+000  -1.8259334161562940E+001
1.050000   -1.3882115841894951E+001    1.0000000000000000E+000   6.8557772521478192E+026    0.0000000000000000E+000   5.4921631427336024E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -2.4358320725907056E+001   1.0476182765722262E+001   3.6900184904827965E-002  -1.3918995561655199E+001   1.0500000000000000E+000  -1.3882115841894951E+001
