0	6.71141E26
2.1978E-9	9.39597E26
4.94505E-9	1.27517E27
8.24176E-9	1.67785E27
1.0989E-8	2.14765E27
1.59341E-8	2.75168E27
1.97802E-8	3.3557E27
2.36264E-8	3.95973E27
2.74725E-8	4.49664E27
3.24176E-8	5.03356E27
3.57143E-8	5.36913E27
4.01099E-8	5.7047E27
4.3956E-8	5.83893E27
4.89011E-8	5.90604E27
5.43956E-8	5.77181E27
5.98901E-8	5.43624E27
6.37363E-8	5.16779E27
6.97802E-8	4.56376E27
7.47253E-8	4.09396E27
7.85714E-8	3.62416E27
8.2967E-8	3.15436E27
8.68132E-8	2.88591E27
9.01099E-8	2.55034E27
9.45055E-8	2.28188E27
1E-7	2.01342E27
